ID,中藥中文名,中藥拉丁學名,中藥英文名,中藥基原,西藥學名,建議處理方式,項次_x,研究設計,可能交互作用機轉,可能交互作用結果,參考文獻,項次_y,篇名,連結
1947,荊防敗毒散,拉丁學名：,英文名：,基原：,學名：Memantine,由醫師調整用藥,"['1', '2']","['健保資料庫\r\r\n分析', '健保資\r\r\n料庫分析']","['機制未明', '機制未明']","['由1997至\r\r\n2012年健保資料庫分析，失智症患者在西藥Memantine治療期間，合併使用中藥荊防敗毒散，與對照組(無服用中藥)相較，不會增加腎衰竭風險。', '由1997至\r\r\n2012年健保資料庫分析，失智症患者在西藥Memantine治療期間，合併使用中藥荊防敗毒散，與對照組(無服用中藥)相較，不會增加肺炎住院的風險。']","['256', '256']","[None, None]","['賴榮年、孫茂峰、林國義：中西藥交互作用資料探勘與實證探討分析。衛生福利部中醫藥司研究計畫。', '賴榮年、孫茂峰、林國義：中西藥交互作用資料探勘與實證探討分析。衛生福利部中醫藥司研究計畫。']","[None, None]"
1948,正骨紫金丹,拉丁學名：,英文名：,基原：,學名：Memantine,由醫師調整用藥,['1'],['健保資料庫\r\r\n分析'],['機制未明'],['由1997至\r\r\n2012年健保資料庫分析，失智症患者在西藥Memantine治療期間，合併使用中藥正骨紫金丹，與對照組(無服用中藥)相較，不會增加腎衰竭風險。'],['256'],[None],['賴榮年、孫茂峰、林國義：中西藥交互作用資料探勘與實證探討分析。衛生福利部中醫藥司研究計畫。'],[None]
1949,丹參,拉丁學名：SALVIAE MILTIORRHIZAE RADIX ET RHIZOMA,英文名：Red Sage Root and Rhizome,基原：,學名：Memantine,由醫師調整用藥,['1'],['健保資料庫分析'],['機制未明'],['由1997至2012年\r\r\n健保資料庫分析，失智症患者在西藥Memantine治療期間，合併使用中藥丹參，與對照組(無服用中藥)相較，不會增加腎衰竭風險。'],['256'],[None],['賴榮年、孫茂峰、林國義：中西藥交互作用資料探勘與實證探討分析。衛生福利部中醫藥司研究計畫。'],[None]
1950,延胡索,拉丁學名：CORYDALIS RHIZOMA,英文名：Corydalis Tuber,基原：,學名：Memantine,由醫師調整用藥,['1'],['健保資料庫分析'],['機制未明'],['由1997至2012\r\r\n年健保資料庫分析，失智症患者在西藥Memantine治療期間，合併使用中藥延胡索，與對照組(無服用中藥)相較，不會增加腎衰竭風險。'],['256'],[None],['賴榮年、孫茂峰、林國義：中西藥交互作用資料探勘與實證探討分析。衛生福利部中醫藥司研究計畫。'],[None]
1951,甘草,拉丁學名：GLYCYRRHIZAE RADIX ET RHIZOMA,英文名：Liquorice Root and Rhizome,基原：,學名：Memantine,由醫師調整用藥,['1'],['健保資料庫分析'],['機制未明'],['由1997至2012年\r\r\n健保資料庫分析，失智症患者在西藥Memantine治療期間，合併使用中藥甘草，與對照組(無服用中藥)相較，不會增加腎衰竭風險。'],['256'],[None],['賴榮年、孫茂峰、林國義：中西藥交互作用資料探勘與實證探討分析。衛生福利部中醫藥司研究計畫。'],[None]
1952,桔梗,拉丁學名：PLATYCODI RADIX,英文名：Platycodon Root,基原：,學名：Memantine,由醫師調整用藥,['1'],['健保資料庫分析'],['機制未明'],['由1997至2012年\r\r\n健保資料庫分析，失智症患者在西藥Memantine治療期間，合併使用中藥桔梗，與對照組(無服用中藥)相較，不會增加腎衰竭風險。'],['256'],[None],['賴榮年、孫茂峰、林國義：中西藥交互作用資料探勘與實證探討分析。衛生福利部中醫藥司研究計畫。'],[None]
1953,麥門冬,拉丁學名：OPHIOPOGONIS RADIX,英文名：Dwarf Lilyturf Tuber,基原：本品為百合科Liliaceae植物麥冬,學名：Memantine,由醫師調整用藥,['1'],['健保資料庫分析'],['機制未明'],['由1997至2012\r\r\n年健保資料庫分析，失智症患者在西藥Memantine治療期間，合併使用中藥麥門冬，與對照組(無服用中藥)相較，不會增加腎衰竭風險。'],['256'],[None],['賴榮年、孫茂峰、林國義：中西藥交互作用資料探勘與實證探討分析。衛生福利部中醫藥司研究計畫。'],[None]
1954,黃芩,拉丁學名：,"英文名：Huang-Cin Concentrated Preparation (Granules, Powder) ; Huang-Qin Concentrated Preparation (Granules, Powder) ;  Scutellaria Root Concentrated Preparation (Granules, Powder)",基原：本品係由唇形科Labiatae植物黃芩,學名：Memantine,由醫師調整用藥,['1'],['健保資料庫分析'],['機制未明'],['由1997至2012年\r\r\n健保資料庫分析，失智症患者在西藥Memantine治療期間，合併使用中藥黃芩，與對照組(無服用中藥)相較，不會增加腎衰竭風險。'],['256'],[None],['賴榮年、孫茂峰、林國義：中西藥交互作用資料探勘與實證探討分析。衛生福利部中醫藥司研究計畫。'],[None]
1955,牛膝,拉丁學名：ACHYRANTHIS BIDENTATAE RADIX,英文名：Twotooth Achyranthes Root,基原：,學名：Memantine,由醫師調整用藥,['1'],['健保資料庫分析'],['機制未明'],['由1997至2012年\r\r\n健保資料庫分析，失智症患者在西藥Memantine治療期間，合併使用中藥牛膝，與對照組(無服用中藥)相較，不會增加腎衰竭風險。'],['256'],[None],['賴榮年、孫茂峰、林國義：中西藥交互作用資料探勘與實證探討分析。衛生福利部中醫藥司研究計畫。'],[None]
1956,木瓜,拉丁學名：CHAENOMELIS FRUCTUS,英文名：Floweringquince Fruit,基原：,學名：Memantine,由醫師調整用藥,['1'],['健保資料庫分析'],['機制未明'],['由1997至2012年\r\r\n健保資料庫分析，失智症患者在西藥Memantine治療期間，合併使用中藥木瓜，與對照組(無服用中藥)相較，不會增加腎衰竭風險。'],['256'],[None],['賴榮年、孫茂峰、林國義：中西藥交互作用資料探勘與實證探討分析。衛生福利部中醫藥司研究計畫。'],[None]
1957,杜仲,拉丁學名：EUCOMMIAE CORTEX,英文名：Eucommia Bark,基原：,學名：Memantine,由醫師調整用藥,['1'],['健保資料庫分析'],['機制未明'],['由1997至2012年\r\r\n健保資料庫分析，失智症患者在西藥Memantine治療期間，合併使用中藥杜仲，與對照組(無服用中藥)相較，不會增加腎衰竭風險。'],['256'],[None],['賴榮年、孫茂峰、林國義：中西藥交互作用資料探勘與實證探討分析。衛生福利部中醫藥司研究計畫。'],[None]
1958,貝母,拉丁學名：,英文名：,基原：,學名：Memantine,由醫師調整用藥,['1'],['健保資料庫分析'],['機制未明'],['由1997至2012年\r\r\n健保資料庫分析，失智症患者在西藥Memantine治療期間，合併使用中藥貝母，與對照組(無服用中藥)相較，不會增加腎衰竭風險。'],['256'],[None],['賴榮年、孫茂峰、林國義：中西藥交互作用資料探勘與實證探討分析。衛生福利部中醫藥司研究計畫。'],[None]
1959,黃耆,拉丁學名：ASTRAGALI RADIX,英文名：Astragalus Root,基原：本品為豆科Leguminosae植物蒙古黃耆,學名：Memantine,由醫師調整用藥,['1'],['健保資料庫分析'],['機制未明'],['由1997至2012年\r\r\n健保資料庫分析，失智症患者在西藥Memantine治療期間，合併使用中藥黃耆，與對照組(無服用中藥)相較，不會增加腎衰竭風險。'],['256'],[None],['賴榮年、孫茂峰、林國義：中西藥交互作用資料探勘與實證探討分析。衛生福利部中醫藥司研究計畫。'],[None]
1960,杏仁,拉丁學名：,英文名：,基原：,學名：Memantine,由醫師調整用藥,['1'],['健保資料庫分析'],['機制未明'],['由1997至2012年\r\r\n健保資料庫分析，失智症患者在西藥Memantine治療期間，合併使用中藥杏仁，與對照組(無服用中藥)相較，不會增加腎衰竭風險。'],['256'],[None],['賴榮年、孫茂峰、林國義：中西藥交互作用資料探勘與實證探討分析。衛生福利部中醫藥司研究計畫。'],[None]
1961,遠志,拉丁學名：POLYGALAE RADIX,英文名：Polygala Root,基原：本品為遠志科Polygalaceae植物遠志,學名：Memantine,由醫師調整用藥,['1'],['健保資料庫分析'],['機制未明'],['由1997至2012年\r\r\n健保資料庫分析，失智症患者在西藥Memantine治療期間，合併使用中藥遠志，與對照組(無服用中藥)相較，不會增加腎衰竭風險。'],['256'],[None],['賴榮年、孫茂峰、林國義：中西藥交互作用資料探勘與實證探討分析。衛生福利部中醫藥司研究計畫。'],[None]
1962,木香,拉丁學名：AUCKLANDIAE RADIX,英文名：Costus Root,基原：,學名：Memantine,由醫師調整用藥,['1'],['健保資料庫分析'],['機制未明'],['由1997至2012年\r\r\n健保資料庫分析，失智症患者在西藥Memantine治療期間，合併使用中藥木香，與對照組(無服用中藥)相較，不會增加腎衰竭風險。'],['256'],[None],['賴榮年、孫茂峰、林國義：中西藥交互作用資料探勘與實證探討分析。衛生福利部中醫藥司研究計畫。'],[None]
1963,黃柏,拉丁學名：,英文名：,基原：,學名：Memantine,由醫師調整用藥,['1'],['健保資料庫分析'],['機制未明'],['由1997至2012年\r\r\n健保資料庫分析，失智症患者在西藥Memantine治療期間，合併使用中藥黃柏，與對照組(無服用中藥)相較，不會增加腎衰竭風險。'],['256'],[None],['賴榮年、孫茂峰、林國義：中西藥交互作用資料探勘與實證探討分析。衛生福利部中醫藥司研究計畫。'],[None]
1964,茯苓,拉丁學名：PORIA,英文名：Indian Bread,基原：,學名：Memantine,由醫師調整用藥,['1'],['健保資料庫分析'],['機制未明'],['由1997至2012年\r\r\n健保資料庫分析，失智症患者在西藥Memantine治療期間，合併使用中藥茯苓，與對照組(無服用中藥)相較，不會增加腎衰竭風險。'],['256'],[None],['賴榮年、孫茂峰、林國義：中西藥交互作用資料探勘與實證探討分析。衛生福利部中醫藥司研究計畫。'],[None]
1965,白芷,拉丁學名：ANGELICAE DAHURICAE RADIX,英文名：Dahurian Angelica Root,基原：,學名：Memantine,由醫師調整用藥,['1'],['健保資料庫分析'],['機制未明'],['由1997至2012年\r\r\n健保資料庫分析，失智症患者在西藥Memantine治療期間，合併使用中藥白芷，與對照組(無服用中藥)相較，不會增加腎衰竭風險。'],['256'],[None],['賴榮年、孫茂峰、林國義：中西藥交互作用資料探勘與實證探討分析。衛生福利部中醫藥司研究計畫。'],[None]
1966,續斷,拉丁學名：DIPSACI RADIX,英文名：Dipsacus Root,基原：本品為續斷科Dipsacaceae植物川續斷,學名：Memantine,由醫師調整用藥,['1'],['健保資料庫分析'],['機制未明'],['由1997至2012年\r\r\n健保資料庫分析，失智症患者在西藥Memantine治療期間，合併使用中藥續斷，與對照組(無服用中藥)相較，不會增加腎衰竭風險。'],['256'],[None],['賴榮年、孫茂峰、林國義：中西藥交互作用資料探勘與實證探討分析。衛生福利部中醫藥司研究計畫。'],[None]
1967,厚朴,拉丁學名：MAGNOLIAE CORTEX,英文名：Magnolia Bark,基原：,學名：Memantine,由醫師調整用藥,['1'],['健保資料庫分析'],['機制未明'],['由1997至2012年\r\r\n健保資料庫分析，失智症患者在西藥Memantine治療期間，合併使用中藥厚朴，與對照組(無服用中藥)相較，不會增加腎衰竭風險。'],['256'],[None],['賴榮年、孫茂峰、林國義：中西藥交互作用資料探勘與實證探討分析。衛生福利部中醫藥司研究計畫。'],[None]
1968,葛根,拉丁學名：PUERARIAE RADIX,英文名：Pueraria Root,基原：,學名：Memantine,由醫師調整用藥,['1'],['健保資料庫分析'],['機制未明'],['由1997至2012年\r\r\n健保資料庫分析，失智症患者在西藥Memantine治療期間，合併使用中藥葛根，與對照組(無服用中藥)相較，不會增加腎衰竭風險。'],['256'],[None],['賴榮年、孫茂峰、林國義：中西藥交互作用資料探勘與實證探討分析。衛生福利部中醫藥司研究計畫。'],[None]
1969,鉤藤,拉丁學名：UNCARIAE RAMULUS CUM UNCIS,英文名：Uncaria Stem with Hooks,基原：本品為茜草科 Rubiaceae 植物鉤藤,學名：Memantine,由醫師調整用藥,['1'],['健保資料庫分析'],['機制未明'],['由1997至2012年\r\r\n健保資料庫分析，失智症患者在西藥Memantine治療期間，合併使用中藥鉤藤，與對照組(無服用中藥)相較，不會增加腎衰竭風險。'],['256'],[None],['賴榮年、孫茂峰、林國義：中西藥交互作用資料探勘與實證探討分析。衛生福利部中醫藥司研究計畫。'],[None]
1970,乳香,拉丁學名：OLIBANUM,英文名：Frankincense,基原：,學名：Memantine,由醫師調整用藥,['1'],['健保資料庫分析'],['機制未明'],['由1997至2012年\r\r\n健保資料庫分析，失智症患者在西藥Memantine治療期間，合併使用中藥乳香，與對照組(無服用中藥)相較，不會增加腎衰竭風險。'],['256'],[None],['賴榮年、孫茂峰、林國義：中西藥交互作用資料探勘與實證探討分析。衛生福利部中醫藥司研究計畫。'],[None]
1971,赤芍藥,拉丁學名：,英文名：,基原：,學名：Memantine,由醫師調整用藥,['1'],['健保資料庫分析'],['機制未明'],['由1997至2012\r\r\n年健保資料庫分析，失智症患者在西藥Memantine治療期間，合併使用中藥赤芍藥，與對照組(無服用中藥)相較，不會增加腎衰竭風險。'],['256'],[None],['賴榮年、孫茂峰、林國義：中西藥交互作用資料探勘與實證探討分析。衛生福利部中醫藥司研究計畫。'],[None]
1972,玄參,拉丁學名：SCROPHULARIAE RADIX,英文名：Scrophularia Root,基原：本品為玄參科Scrophulariaceae植物玄參,學名：Memantine,由醫師調整用藥,['1'],['健保資料庫分析'],['機制未明'],['由1997至2012年\r\r\n健保資料庫分析，失智症患者在西藥Memantine治療期間，合併使用中藥玄參，與對照組(無服用中藥)相較，不會增加腎衰竭風險。'],['256'],[None],['賴榮年、孫茂峰、林國義：中西藥交互作用資料探勘與實證探討分析。衛生福利部中醫藥司研究計畫。'],[None]
1973,白朮,拉丁學名：ATRACTYLODIS MACROCEPHALAE RHIZOMA,英文名：White Atractylodes Rhizome,基原：,學名：Memantine,由醫師調整用藥,['1'],['健保資料庫分析'],['機制未明'],['由1997至2012年\r\r\n健保資料庫分析，失智症患者在西藥Memantine治療期間，合併使用中藥白朮，與對照組(無服用中藥)相較，不會增加腎衰竭風險。'],['256'],[None],['賴榮年、孫茂峰、林國義：中西藥交互作用資料探勘與實證探討分析。衛生福利部中醫藥司研究計畫。'],[None]
1974,大黃,拉丁學名：RHEI RADIX ET RHIZOMA,英文名：Rhubarb,基原：本品為蓼科Polygonaceae植物掌葉大黃Rheum palmatum L.（北大黃）、唐古特大黃Rheum tanguticum Maxim. ex Balf.或藥用大黃Rheum officinale Baillon（南大黃）去外皮之乾燥根及根莖。,學名：Memantine,由醫師調整用藥,['1'],['健保資料庫分析'],['機制未明'],['由1997至2012年\r\r\n健保資料庫分析，失智症患者在西藥Memantine治療期間，合併使用中藥大黃，與對照組(無服用中藥)相較，不會增加腎衰竭風險。'],['256'],[None],['賴榮年、孫茂峰、林國義：中西藥交互作用資料探勘與實證探討分析。衛生福利部中醫藥司研究計畫。'],[None]
1975,黃連,拉丁學名：COPTIDIS RHIZOMA,英文名：Coptis Rhizome,基原：,學名：Memantine,由醫師調整用藥,['1'],['健保資料庫分析'],['機制未明'],['由1997至2012年\r\r\n健保資料庫分析，失智症患者在西藥Memantine治療期間，合併使用中藥黃連，與對照組(無服用中藥)相較，不會增加腎衰竭風險。'],['256'],[None],['賴榮年、孫茂峰、林國義：中西藥交互作用資料探勘與實證探討分析。衛生福利部中醫藥司研究計畫。'],[None]
1976,魚腥草,拉丁學名：HOUTTUYNIAE HERBA,英文名：Heartleaf Houttuynia Herb,基原：本品為三白草科Saururaceae植物蕺菜,學名：Memantine,由醫師調整用藥,['1'],['健保資料庫分析'],['機制未明'],['由1997至2012\r\r\n年健保資料庫分析，失智症患者在西藥Memantine治療期間，合併使用中藥魚腥草，與對照組(無服用中藥)相較，不會增加腎衰竭風險。'],['256'],[None],['賴榮年、孫茂峰、林國義：中西藥交互作用資料探勘與實證探討分析。衛生福利部中醫藥司研究計畫。'],[None]
1977,雞血藤,拉丁學名：SPATHOLOBI CAULIS,英文名：Suberect Spatholobus Stem,基原：本品為豆科Leguminosae植物密花豆,學名：Memantine,由醫師調整用藥,['1'],['健保資料庫分析'],['機制未明'],['由1997至2012\r\r\n年健保資料庫分析，失智症患者在西藥Memantine治療期間，合併使用中藥雞血藤，與對照組(無服用中藥)相較，不會增加腎衰竭風險。'],['256'],[None],['賴榮年、孫茂峰、林國義：中西藥交互作用資料探勘與實證探討分析。衛生福利部中醫藥司研究計畫。'],[None]
1978,疏經活血湯,拉丁學名：,英文名：,基原：,學名：Allobarbital,由醫師調整用藥,"['1', '2']","['健保資料庫\r\r\n分析', '健保\r\r\n資料庫分析']","['機制未明', '機制未明']","['由\r\r\n1997至2012年健保資料庫分析，在西藥Allobarbital治療期間，合併使用中藥疏經活血湯，與對照組(無服用中藥)相較，不會增加腎衰竭風險。', '由\r\r\n1997至2012年健保資料庫分析，在西藥Allobarbital治療期間，合併使用中藥疏經活血湯，與對照組(無服用中藥)相較，不會增加髖關節骨折的風險。']","['256', '256']","[None, None]","['賴榮年、孫茂峰、林國義：中西藥交互作用資料探勘與實證探討分析。衛生福利部中醫藥司研究計畫。', '賴榮年、孫茂峰、林國義：中西藥交互作用資料探勘與實證探討分析。衛生福利部中醫藥司研究計畫。']","[None, None]"
1979,丹參,拉丁學名：SALVIAE MILTIORRHIZAE RADIX ET RHIZOMA,英文名：Red Sage Root and Rhizome,基原：,學名：Allobarbital,由醫師調整用藥,"['1', '2']","['健保資料庫分析', '健保資料庫分析']","['機制未明', '機制未明']","['由1997至\r\r\n2012年健保資料庫分析，在西藥Allobarbital治療期間，合併使用中藥丹參，與對照組(無服用中藥)相較，不會增加腎衰竭風險。', '由1997至\r\r\n2012年健保資料庫分析，在西藥Allobarbital治療期間，合併使用中藥丹參，與對照組(無服用中藥)相較，不會增加髖關節骨折的風險。']","['256', '256']","[None, None]","['賴榮年、孫茂峰、林國義：中西藥交互作用資料探勘與實證探討分析。衛生福利部中醫藥司研究計畫。', '賴榮年、孫茂峰、林國義：中西藥交互作用資料探勘與實證探討分析。衛生福利部中醫藥司研究計畫。']","[None, None]"
1980,白芷,拉丁學名：ANGELICAE DAHURICAE RADIX,英文名：Dahurian Angelica Root,基原：,學名：Allobarbital,由醫師調整用藥,"['1', '2']","['健保資料庫分析', '健保資料庫分析']","['機制未明', '機制未明']","['由1997至\r\r\n2012年健保資料庫分析，在西藥Allobarbital治療期間，合併使用中藥白芷，與對照組(無服用中藥)相較，不會增加腎衰竭風險。', '由1997至\r\r\n2012年健保資料庫分析，在西藥Allobarbital治療期間，合併使用中藥白芷，與對照組(無服用中藥)相較，不會增加髖關節骨折的風險。']","['256', '256']","[None, None]","['賴榮年、孫茂峰、林國義：中西藥交互作用資料探勘與實證探討分析。衛生福利部中醫藥司研究計畫。', '賴榮年、孫茂峰、林國義：中西藥交互作用資料探勘與實證探討分析。衛生福利部中醫藥司研究計畫。']","[None, None]"
1981,龍膽瀉肝湯,拉丁學名：,英文名：,基原：,學名：Allobarbital,由醫師調整用藥,"['1', '2']","['健保資料庫\r\r\n分析', '健保\r\r\n資料庫分析']","['機制未明', '機制未明']","['由\r\r\n1997至2012年健保資料庫分析，在西藥Allobarbital治療期間，合併使用中藥龍膽瀉肝湯，與對照組(無服用中藥)相較，不會增加腎衰竭風險。', '由\r\r\n1997至2012年健保資料庫分析，在西藥Allobarbital治療期間，合併使用中藥龍膽瀉肝湯，與對照組(無服用中藥)相較，不會增加髖關節骨折的風險。']","['256', '256']","[None, None]","['賴榮年、孫茂峰、林國義：中西藥交互作用資料探勘與實證探討分析。衛生福利部中醫藥司研究計畫。', '賴榮年、孫茂峰、林國義：中西藥交互作用資料探勘與實證探討分析。衛生福利部中醫藥司研究計畫。']","[None, None]"
1986,赤芍藥,拉丁學名：,英文名：,基原：,學名：Allobarbital,由醫師調整用藥,['1'],['健保資料庫分析'],['機制未明'],['由1997至\r\r\n2012年健保資料庫分析，在西藥Allobarbital治療期間，合併使用中藥赤芍藥，與對照組(無服用中藥)相較，不會增加腎衰竭風險。'],['256'],[None],['賴榮年、孫茂峰、林國義：中西藥交互作用資料探勘與實證探討分析。衛生福利部中醫藥司研究計畫。'],[None]
1987,牛膝,拉丁學名：ACHYRANTHIS BIDENTATAE RADIX,英文名：Twotooth Achyranthes Root,基原：,學名：Allobarbital,由醫師調整用藥,['1'],['健保資料庫分析'],['機制未明'],['由1997至\r\r\n2012年健保資料庫分析，在西藥Allobarbital治療期間，合併使用中藥牛膝，與對照組(無服用中藥)相較，不會增加腎衰竭風險。'],['256'],[None],['賴榮年、孫茂峰、林國義：中西藥交互作用資料探勘與實證探討分析。衛生福利部中醫藥司研究計畫。'],[None]
1988,辛夷清肺湯,拉丁學名：,英文名：,基原：,學名：Allobarbital,由醫師調整用藥,['1'],['健保資料庫\r\r\n分析'],['機制未明'],['由\r\r\n1997至2012年健保資料庫分析，在西藥Allobarbital治療期間，合併使用中藥辛夷清肺湯，與對照組(無服用中藥)相較，不會增加腎衰竭風險。'],['256'],[None],['賴榮年、孫茂峰、林國義：中西藥交互作用資料探勘與實證探討分析。衛生福利部中醫藥司研究計畫。'],[None]
1989,補陽還五湯,拉丁學名：,英文名：,基原：,學名：Allobarbital,由醫師調整用藥,['1'],['健保資料庫\r\r\n分析'],['機制未明'],['由\r\r\n1997至2012年健保資料庫分析，在西藥Allobarbital治療期間，合併使用中藥補陽還五湯，與對照組(無服用中藥)相較，不會增加腎衰竭風險。'],['256'],[None],['賴榮年、孫茂峰、林國義：中西藥交互作用資料探勘與實證探討分析。衛生福利部中醫藥司研究計畫。'],[None]
1990,梔子,拉丁學名：GARDENIAE FRUCTUS,英文名：Capejasmine Fruit,基原：,學名：Allobarbital,由醫師調整用藥,['1'],['健保資料庫分析'],['機制未明'],['由1997至\r\r\n2012年健保資料庫分析，在西藥Allobarbital治療期間，合併使用中藥梔子，與對照組(無服用中藥)相較，不會增加腎衰竭風險。'],['256'],[None],['賴榮年、孫茂峰、林國義：中西藥交互作用資料探勘與實證探討分析。衛生福利部中醫藥司研究計畫。'],[None]
1991,貝母,拉丁學名：,英文名：,基原：,學名：Allobarbital,由醫師調整用藥,"['1', '2']","['健保資料庫分析', '健保資料庫分析']","['機制未明', '機制未明']","['由1997至\r\r\n2012年健保資料庫分析，在西藥Allobarbital治療期間，合併使用中藥貝母，與對照組(無服用中藥)相較，不會增加腎衰竭風險。', '由1997至\r\r\n2012年健保資料庫分析，在西藥Allobarbital治療期間，合併使用中藥貝母，與對照組(無服用中藥)相較，不會增加髖關節骨折的風險。']","['256', '256']","[None, None]","['賴榮年、孫茂峰、林國義：中西藥交互作用資料探勘與實證探討分析。衛生福利部中醫藥司研究計畫。', '賴榮年、孫茂峰、林國義：中西藥交互作用資料探勘與實證探討分析。衛生福利部中醫藥司研究計畫。']","[None, None]"
1992,延胡索,拉丁學名：CORYDALIS RHIZOMA,英文名：Corydalis Tuber,基原：,學名：Allobarbital,由醫師調整用藥,"['1', '2']","['健保資料庫分析', '健保資料庫分\r\r\n析']","['機制未明', '機制未明']","['由1997至\r\r\n2012年健保資料庫分析，在西藥Allobarbital治療期間，合併使用中藥延胡索，與對照組(無服用中藥)相較，不會增加腎衰竭風險。', '由1997至\r\r\n2012年健保資料庫分析，在西藥Allobarbital治療期間，合併使用中藥延胡索，與對照組(無服用中藥)相較，不會增加髖關節骨折的風險。']","['256', '256']","[None, None]","['賴榮年、孫茂峰、林國義：中西藥交互作用資料探勘與實證探討分析。衛生福利部中醫藥司研究計畫。', '賴榮年、孫茂峰、林國義：中西藥交互作用資料探勘與實證探討分析。衛生福利部中醫藥司研究計畫。']","[None, None]"
1993,麻子仁丸,拉丁學名：,英文名：,基原：,學名：Allobarbital,由醫師調整用藥,['1'],['健保資料庫分析'],['機制未明'],['由1997\r\r\n至2012年健保資料庫分析，在西藥Allobarbital治療期間，合併使用中藥麻子仁丸，與對照組(無服用中藥)相較，不會增加腎衰竭風險。'],['256'],[None],['賴榮年、孫茂峰、林國義：中西藥交互作用資料探勘與實證探討分析。衛生福利部中醫藥司研究計畫。'],[None]
1994,夜交藤,拉丁學名：,英文名：,基原：,學名：Allobarbital,由醫師調整用藥,['1'],['健保資料庫分析'],['機制未明'],['由1997至\r\r\n2012年健保資料庫分析，在西藥Allobarbital治療期間，合併使用中藥夜交藤，與對照組(無服用中藥)相較，不會增加腎衰竭風險。'],['256'],[None],['賴榮年、孫茂峰、林國義：中西藥交互作用資料探勘與實證探討分析。衛生福利部中醫藥司研究計畫。'],[None]
1995,桂枝芍藥知母湯,拉丁學名：,英文名：,基原：,學名：Allobarbital,由醫師調整用藥,['1'],['健保\r\r\n資料庫分析'],['機制未明'],['由1997至2012年健保資料庫分析，在西藥Allobarbital治療期間，合併使用中藥桂枝芍藥知母湯，與對照組(無服用中藥)相較，不會增加腎衰竭風險。'],['256'],[None],['賴榮年、孫茂峰、林國義：中西藥交互作用資料探勘與實證探討分析。衛生福利部中醫藥司研究計畫。'],[None]
1996,蟬退,拉丁學名：,英文名：,基原：,學名：Allobarbital,由醫師調整用藥,['1'],['健保資料庫分析'],['機制未明'],['由1997至\r\r\n2012年健保資料庫分析，在西藥Allobarbital治療期間，合併使用中藥蟬退，與對照組(無服用中藥)相較，不會增加腎衰竭風險。'],['256'],[None],['賴榮年、孫茂峰、林國義：中西藥交互作用資料探勘與實證探討分析。衛生福利部中醫藥司研究計畫。'],[None]
1997,甘草,拉丁學名：GLYCYRRHIZAE RADIX ET RHIZOMA,英文名：Liquorice Root and Rhizome,基原：,學名：Allobarbital,由醫師調整用藥,"['1', '2']","['健保資料庫分析', '健保資料庫分析']","['機制未明', '機制未明']","['由1997至\r\r\n2012年健保資料庫分析，在西藥Allobarbital治療期間，合併使用中藥甘草，與對照組(無服用中藥)相較，不會增加腎衰竭風險。', '由1997至\r\r\n2012年健保資料庫分析，在西藥Allobarbital治療期間，合併使用中藥甘草，與對照組(無服用中藥)相較，不會增加髖關節骨折的風險。']","['256', '256']","[None, None]","['賴榮年、孫茂峰、林國義：中西藥交互作用資料探勘與實證探討分析。衛生福利部中醫藥司研究計畫。', '賴榮年、孫茂峰、林國義：中西藥交互作用資料探勘與實證探討分析。衛生福利部中醫藥司研究計畫。']","[None, None]"
1998,酸棗仁,拉丁學名：ZIZIPHI SPINOSAE SEMEN,英文名：Jujube Seed,基原：本品為鼠李科Rhamnaceae植物酸棗,學名：Allobarbital,由醫師調整用藥,"['1', '2']","['健保資料庫分析', '健保資料庫分\r\r\n析']","['機制未明', '機制未明']","['由1997至\r\r\n2012年健保資料庫分析，在西藥Allobarbital治療期間，合併使用中藥酸棗仁，與對照組(無服用中藥)相較，不會增加腎衰竭風險。', '由1997至\r\r\n2012年健保資料庫分析，在西藥Allobarbital治療期間，合併使用中藥酸棗仁，與對照組(無服用中藥)相較，不會增加髖關節骨折的風險。']","['256', '256']","[None, None]","['賴榮年、孫茂峰、林國義：中西藥交互作用資料探勘與實證探討分析。衛生福利部中醫藥司研究計畫。', '賴榮年、孫茂峰、林國義：中西藥交互作用資料探勘與實證探討分析。衛生福利部中醫藥司研究計畫。']","[None, None]"
1999,荊芥,拉丁學名：NEPETAE SPICA,英文名：Fineleaf Nepeta Spike,基原：本品為唇形科Labiatae植物裂葉荊芥,學名：Allobarbital,由醫師調整用藥,['1'],['健保資料庫分析'],['機制未明'],['由1997至\r\r\n2012年健保資料庫分析，在西藥Allobarbital治療期間，合併使用中藥荊芥，與對照組(無服用中藥)相較，不會增加腎衰竭風險。'],['256'],[None],['賴榮年、孫茂峰、林國義：中西藥交互作用資料探勘與實證探討分析。衛生福利部中醫藥司研究計畫。'],[None]
2000,柴胡,拉丁學名：BUPLEURI RADIX,英文名：Bupleurum Root,基原：,學名：Allobarbital,由醫師調整用藥,['1'],['健保資料庫分析'],['機制未明'],['由1997至\r\r\n2012年健保資料庫分析，在西藥Allobarbital治療期間，合併使用中藥柴胡，與對照組(無服用中藥)相較，不會增加腎衰竭風險。'],['256'],[None],['賴榮年、孫茂峰、林國義：中西藥交互作用資料探勘與實證探討分析。衛生福利部中醫藥司研究計畫。'],[None]
